record_label,features,distinct_artists,distinct_authors,primary_genre,primary_country,first_feature,latest_feature
Full of Hell,1,1,1,Metal,United States,2017-11-15,2017-11-15
Fun in the church,1,1,1,Electronic,Germany,2020-08-27,2020-08-27
fundog,1,1,1,Rock,Canada,2020-08-07,2020-08-07
Future Bubblers,1,1,1,Electronic,United Kingdom,2018-10-01,2018-10-01
Gabe 'Nandez,1,1,1,Hip-Hop/Rap,United States,2025-08-19,2025-08-19
galen tipton,1,1,1,Electronic,United States,2020-05-01,2020-05-01
Gareth Quinn Redmond,1,1,1,Ambient,Ireland,2025-09-09,2025-09-09
garth erasmus,1,1,1,World,South Africa,2024-04-24,2024-04-24
Get Physical Music,1,1,1,Electronic,Germany,2017-11-30,2017-11-30
Gilead Media,2,2,2,Metal,United States,2019-06-27,2022-03-31
Girl Talk,1,1,1,Hip-Hop/Rap,United States,2026-08-18,2026-08-18
Gost,1,1,1,Electronic,United States,2018-03-23,2018-03-23
Graveface Records & Curiosities,1,1,1,Rock,United States,2021-05-03,2021-05-03
GREEN LUNG,1,1,1,Metal,United Kingdom,2026-09-16,2026-09-16
grim streaker,1,1,1,Alternative,United States,2017-08-07,2017-08-07
Grimalkin Records,1,1,1,R&B/Soul,United States,2020-03-23,2020-03-23
Grouper,1,1,1,Experimental,,2019-03-06,2019-03-06
Gunn - Truscinski Duo,1,1,1,Experimental,United States,2025-02-28,2025-02-28
gutterring,1,1,1,Electronic,United Kingdom,2022-10-03,2022-10-03
GYGAX,1,1,1,Rock,United States,2019-06-24,2019-06-24
Habibi Funk Records,9,8,8,World,Germany,2017-03-03,2026-08-11
HAKUNA KULALA,7,7,5,Electronic,Uganda,2021-05-06,2025-10-03
Hammers Of Misfortune,1,1,1,Metal,United States,2022-12-05,2022-12-05
Hany Mehanna - هاني مهنى,1,1,1,Experimental,Egypt,2018-01-17,2018-01-17
HAUNTED HORSES,1,1,1,Metal,United States,2025-01-14,2025-01-14
Hausu Mountain Records,8,7,6,Electronic,United States,2017-03-21,2022-02-11
HEAT CRIMES,1,1,1,Devotional,,2026-05-15,2026-05-15
Hesaitix / M.E.S.H.,1,1,1,Electronic,,2017-12-12,2017-12-12
HEX,1,1,1,Alternative,New Zealand,2018-03-01,2018-03-01
High Two,1,1,1,Jazz,United States,2022-06-08,2022-06-08
Hisstology,2,2,2,Jazz,Lebanon,2024-01-19,2025-08-14
Holodeck Records,2,2,2,Electronic,United States,2016-09-12,2017-04-25
Home Normal,1,1,1,,United Kingdom,2016-07-11,2016-07-11
Homeboy Sandman & Edan,1,1,1,Hip-Hop/Rap,United States,2018-10-24,2018-10-24
homeshake,1,1,1,Alternative,Canada,2019-03-04,2019-03-04
Hospital Productions,1,1,1,Electronic,United States,2020-12-03,2020-12-03
Hot Casa Records,1,1,1,World,France,2021-02-04,2021-02-04
Houndstooth,1,1,1,Ambient,United Kingdom,2026-02-12,2026-02-12
"Hudson (DeJohnette, Grenadier, Medeski & Scofield)",1,1,1,Jazz,United States,2017-06-22,2017-06-22
"I, Voidhanger Records",3,2,3,Metal,Italy,2020-06-22,2025-04-15
Ibukun sunday,1,1,1,Experimental,Nigeria,2021-10-25,2021-10-25
Iceboy Violet,1,1,1,Hip-Hop/Rap,United Kingdom,2024-06-11,2024-06-11
IDLES,1,1,1,Punk,United Kingdom,2018-08-31,2018-08-31
IIKKI,1,1,1,Jazz,France,2018-07-30,2018-07-30
Indian Ocean,1,1,1,World,Madagascar,2019-09-13,2019-09-13
InFiné,1,1,1,,France,2016-09-22,2016-09-22
INFINITY KNIVES,1,1,1,Hip-Hop/Rap,United States,2022-06-22,2022-06-22
Infrequent Seams,1,1,1,Experimental,United States,2026-04-28,2026-04-28
Init Records,1,1,1,Metal,United States,2021-08-24,2021-08-24
International Anthem,26,19,14,Jazz,United States,2016-06-24,2026-09-24
Invictus Productions,2,2,2,Metal,Ireland,2017-11-20,2022-06-10
"Invisible, Inc.",1,1,1,Electronic,United Kingdom,2019-01-24,2019-01-24
Iron & Wine,1,1,1,Alternative,United States,2017-08-24,2017-08-24
IRON LUNG Records,2,2,2,Punk,United States,2017-12-11,2021-03-03
Ivo Perelman/Nate Wooley,1,1,1,Jazz,United States,2021-02-18,2021-02-18
Jack Cooper,1,1,1,Ambient,United Kingdom,2021-07-20,2021-07-20
Jack Ladder & The Dreamlanders,1,1,1,Alternative,Australia,2018-05-07,2018-05-07
Jahari Massamba Unit,1,1,1,Jazz,United States,2020-11-25,2020-11-25
Jakarta Records,1,1,1,Hip-Hop/Rap,Germany,2017-12-01,2017-12-01
James Alexander Bright,1,1,1,,United Kingdom,2016-09-05,2016-09-05
James Hunter Six,1,1,1,R&B/Soul,United Kingdom,2018-02-02,2018-02-02
Jan Jelinek,1,1,1,Electronic,Germany,2025-01-15,2025-01-15
Jane Inc.,1,1,1,,Canada,2021-03-17,2021-03-17
JAUBI,1,1,1,Jazz,United Kingdom,2024-09-10,2024-09-10
JAW GEMS,1,1,1,,United States,2016-08-30,2016-08-30
Jazz Dispensary,1,1,1,Jazz,United States,2026-06-04,2026-06-04
Jazz Is Dead,1,1,1,Jazz,United States,2020-03-20,2020-03-20
Jess Sah Bi & Peter One,1,1,1,Folk,,2018-08-08,2018-08-08
Jigsaw Records,1,1,1,,United States,2016-09-28,2016-09-28
JIMMY EDGAR,1,1,1,Hip-Hop/Rap,United States,2021-02-24,2021-02-24
JMC Aggregate,1,1,1,Comedy,United States,2017-04-17,2017-04-17
Jobcentre Rejects,1,1,1,Metal,Sweden,2019-04-19,2019-04-19
John Davis & The Cicadas,1,1,1,Alternative,United States,2017-11-27,2017-11-27
John Dwyer,1,1,1,Punk,United States,2025-04-18,2025-04-18
Jolly Discs,1,1,1,Electronic,United Kingdom,2026-09-02,2026-09-02
Jon Mckiel,1,1,1,Alternative,Canada,2020-04-29,2020-04-29
José Mauro,1,1,1,,Brazil,2016-09-23,2016-09-23
JoVia Armstrong & Eunoia Society,1,1,1,Jazz,United States,2022-07-22,2022-07-22
Justus Proffit,1,1,1,Rock,United States,2021-08-18,2021-08-18
"K, Le Maestro",1,1,1,Hip-Hop/Rap,United Kingdom,2021-09-23,2021-09-23
Kahil El'Zabar,1,1,1,Jazz,United States,2022-02-08,2022-02-08
Kaitlyn Aurelia Smith,2,2,2,Electronic,United States,2016-09-21,2024-11-22
Kaleta & Super Yamba Band,1,1,1,World,United States,2019-09-09,2019-09-09
Kalita Records,1,1,1,R&B/Soul,United Kingdom,2021-09-03,2021-09-03
kate can wait,1,1,1,Alternative,United States,2020-01-29,2020-01-29
kelly moran,1,1,1,Experimental,United States,2024-03-29,2024-03-29
KEV BROWN,1,1,1,Hip-Hop/Rap,United States,2018-11-08,2018-11-08
Khruangbin,1,1,1,Rock,United States,2022-02-22,2022-02-22
King Gizzard & The Lizard Wizard,1,1,1,Rock,Australia,2025-06-13,2025-06-13
Kiwi jr,2,2,1,Alternative,Canada,2022-08-02,2026-08-14
KNEECAP,2,1,2,Hip-Hop/Rap,United Kingdom,2024-06-12,2026-05-04
Knxwledge.,1,1,1,Hip-Hop/Rap,Japan,2020-01-09,2020-01-09
Kokoroko,1,1,1,Jazz,United Kingdom,2019-03-21,2019-03-21
L I T H I C S,1,1,1,Punk,United States,2018-05-22,2018-05-22
L.A. WITCH,1,1,1,Punk,United States,2017-10-20,2017-10-20
L'Orange,1,1,1,,United States,2019-10-10,2019-10-10
L'Rain,2,1,2,Experimental,United States,2023-10-18,2026-08-17
La Souterraine,1,1,1,Hip-Hop/Rap,France,2020-01-06,2020-01-06
LA VIDA ES UN MUS DISCOS,3,3,2,Punk,United Kingdom,2021-12-14,2022-07-01
Laetitia Sadier,1,1,1,,United Kingdom,2017-03-27,2017-03-27
Lagoss,1,1,1,Electronic,Spain,2025-06-12,2025-06-12
Lamp Of Murmuur,1,1,1,Metal,United States,2023-03-27,2023-03-27
Lanquidity Records,1,1,1,Jazz,United Kingdom,2019-10-28,2019-10-28
Lapsus Records,1,1,1,Electronic,Spain,2020-09-15,2020-09-15
Lawrence English & Lea Bertucci,1,1,1,Experimental,Australia,2023-08-07,2023-08-07
Lee Bains + The Glory Fires,1,1,1,Rock,United States,2017-07-12,2017-07-12
Les Disques Bongo Joe,4,1,4,Ambient,Switzerland,2018-02-05,2024-02-13
LI YILEI,1,1,1,Ambient,United Kingdom,2021-08-04,2021-08-04
Life Of Sensation,1,1,1,Metal,Canada,2026-05-18,2026-05-18
lightheaded,1,1,1,Pop,United States,2024-05-20,2024-05-20
LIL UGLY MANE,1,1,1,,United States,2017-03-06,2017-03-06
Lilacs & Champagne,1,1,1,Electronic,Sweden,2024-07-17,2024-07-17
Lives Through Magic,1,1,1,,United States,2017-01-24,2017-01-24
LOMA,1,1,1,Alternative,United States,2020-10-27,2020-10-27
Lomax Archive,1,1,1,Folk,,2020-06-10,2020-06-10
Loopwhole Beats,1,1,1,,United States,2016-07-20,2016-07-20
Loris S Sarid,1,1,1,Ambient,United Kingdom,2022-06-21,2022-06-21
luke titus,1,1,1,Experimental,United States,2020-11-23,2020-11-23
M.O.T.H,1,1,1,,United States,2016-08-29,2016-08-29
MAD ABOUT RECORDS,1,1,1,Jazz,Portugal,2019-03-07,2019-03-07
Madeleine Cocolas,1,1,1,Ambient,Japan,2022-07-15,2022-07-15
Magnificent Sounds Records,2,1,1,World,United States,2022-05-05,2023-09-14
MALL WALK,1,1,1,,United States,2016-11-15,2016-11-15
Mamman Sani,1,1,1,Electronic,Niger,2024-09-23,2024-09-23
"Mandy, Indiana",1,1,1,,United Kingdom,2023-05-22,2023-05-22
MANNEQUIN PUSSY,1,1,1,Punk,United States,2019-06-25,2019-06-25
Mannequin Records,2,1,2,Alternative,Germany,2022-09-27,2025-06-18
Maple Death Records,3,3,3,Electronic,Italy,2017-03-01,2020-02-10
MARBLED EYE,1,1,1,Punk,United States,2024-03-18,2024-03-18
Marcos Resende & Index,1,1,1,Funk,Brazil,2021-01-27,2021-01-27
Mares Of Thrace,1,1,1,Metal,Canada,2025-05-22,2025-05-22
Marie Davidson,1,1,1,Alternative,Canada,2020-09-28,2020-09-28
